init_node	term_node	demand
1	2	1365.9
1	3	407.4
1	4	861.4
1	5	354.4
1	6	545.1
1	7	431.5
1	8	1.0
1	9	56.8
1	10	75.3
1	11	1.0
1	12	37.9
1	13	48.5
1	14	1.0
1	15	185.9
1	16	12.1
1	17	81.1
1	18	126.6
1	19	67.2
1	20	382.4
1	21	101.6
1	22	71.7
1	23	25.8
1	24	21.1
1	25	665.1
1	26	29.0
1	27	18.9
1	28	75.9
1	29	139.1
1	30	119.1
1	31	295.6
1	32	85.9
1	33	74.3
1	34	96.4
1	35	53.6
1	36	37.9
1	37	13.7
1	38	107.7
2	1	1171.2
2	3	608.1
2	4	1271.4
2	5	542.3
2	6	808.4
2	7	629.1
2	8	1.0
2	9	74.9
2	10	87.3
2	11	1.0
2	12	48.1
2	13	63.9
2	14	1.0
2	15	566.3
2	16	22.0
2	17	107.5
2	18	213.9
2	19	101.1
2	20	511.1
2	21	156.8
2	22	105.2
2	23	39.0
2	24	47.6
2	25	942.1
2	26	51.8
2	27	27.7
2	28	111.9
2	29	194.1
2	30	194.8
2	31	329.9
2	32	95.1
2	33	79.1
2	34	134.9
2	35	81.3
2	36	55.1
2	37	19.6
2	38	166.9
3	1	721.1
3	2	1237.9
3	4	1107.9
3	5	386.6
3	6	582.8
3	7	457.9
3	8	1.0
3	9	57.1
3	10	62.4
3	11	1.0
3	12	33.4
3	13	37.2
3	14	1.0
3	15	241.6
3	16	15.6
3	17	102.6
3	18	159.1
3	19	71.1
3	20	385.6
3	21	109.6
3	22	78.1
3	23	25.1
3	24	32.8
3	25	687.5
3	26	27.3
3	27	21.4
3	28	82.9
3	29	109.6
3	30	132.1
3	31	234.5
3	32	69.9
3	33	61.1
3	34	101.6
3	35	58.7
3	36	43.4
3	37	13.6
3	38	116.9
4	1	1222.5
4	2	2106.7
4	3	938.6
4	5	665.9
4	6	988.8
4	7	769.8
4	8	1.0
4	9	91.6
4	10	108.6
4	11	1.0
4	12	47.8
4	13	61.0
4	14	1.0
4	15	651.9
4	16	27.7
4	17	166.3
4	18	297.6
4	19	155.6
4	20	601.6
4	21	191.1
4	22	132.6
4	23	37.8
4	24	62.4
4	25	881.0
4	26	53.6
4	27	36.1
4	28	107.7
4	29	179.9
4	30	301.6
4	31	508.9
4	32	119.4
4	33	94.3
4	34	167.5
4	35	98.7
4	36	74.6
4	37	21.7
4	38	199.9
5	1	243.4
5	2	419.2
5	3	145.3
5	4	311.6
5	6	195.6
5	7	158.7
5	8	1.0
5	9	19.8
5	10	21.3
5	11	1.0
5	12	6.8
5	13	13.6
5	14	1.0
5	15	71.6
5	16	4.4
5	17	31.3
