init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type
1	290	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
1	307	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
1	316	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
2	302	1	1.6666666666667	1.6666666666667	0.0	0.0	0	0	9
2	304	1	1.6666666666667	1.6666666666667	0.0	0.0	0	0	9
3	301	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
3	306	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
4	301	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
4	306	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
5	298	1	0.5	0.5	0.0	0.0	0	0	9
5	299	1	0.5	0.5	0.0	0.0	0	0	9
5	310	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
6	424	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
6	425	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
6	456	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
7	274	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
7	281	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
7	283	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
8	272	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
8	456	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
8	474	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
8	480	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
9	277	1	0.5	0.5	0.0	0.0	0	0	9
10	205	1	0.41666666666667	0.41666666666667	0.0	0.0	0	0	9
10	206	1	0.41666666666667	0.41666666666667	0.0	0.0	0	0	9
10	214	1	0.41666666666667	0.41666666666667	0.0	0.0	0	0	9
11	206	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
11	207	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
12	210	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
12	217	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
12	222	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
13	208	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
13	211	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
13	224	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
14	244	1	0.58333333333333	0.58333333333333	0.0	0.0	0	0	9
15	228	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
15	533	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
15	538	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
16	601	1	1.0	1.0	0.0	0.0	0	0	9
16	602	1	1.0	1.0	0.0	0.0	0	0	9
17	597	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
17	608	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
17	621	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
18	914	1	0.91666666666667	0.91666666666667	0.0	0.0	0	0	9
18	937	1	0.91666666666667	0.91666666666667	0.0	0.0	0	0	9
18	938	1	0.91666666666667	0.91666666666667	0.0	0.0	0	0	9
18	946	1	0.91666666666667	0.91666666666667	0.0	0.0	0	0	9
19	617	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
19	919	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
19	931	1	0.83333333333333	0.83333333333333	0.0	0.0	0	0	9
20	916	1	0.75	0.75	0.0	0.0	0	0	9
21	915	1	0.5	0.5	0.0	0.0	0	0	9
21	943	1	0.5	0.5	0.0	0.0	0	0	9
22	831	1	1.1666666666667	1.1666666666667	0.0	0.0	0	0	9
23	823	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
23	835	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
23	836	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
23	839	1	1.0833333333333	1.0833333333333	0.0	0.0	0	0	9
24	827	1	1.1666666666667	1.1666666666667	0.0	0.0	0	0	9
24	838	1	1.1666666666667	1.1666666666667	0.0	0.0	0	0	9
24	855	1	1.1666666666667	1.1666666666667	0.0	0.0	0	0	9
25	821	1	1.25	1.25	0.0	0.0	0	0	9
25	841	1	1.25	1.25	0.0	0.0	0	0	9
25	849	1	1.25	1.25	0.0	0.0	0	0	9
26	322	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
26	844	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
26	851	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
27	317	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
27	333	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
27	824	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
27	832	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
28	328	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
28	339	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
28	825	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
29	325	1	0.75	0.75	0.0	0.0	0	0	9
29	331	1	0.75	0.75	0.0	0.0	0	0	9
30	286	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
30	340	1	0.66666666666667	0.66666666666667	0.0	0.0	0	0	9
31	366	1	0.61666666666667	0.61666666666667	0.0	0.0	0	0	9
31	405	1	0.61666666666667	0.61666666666667	0.0	0.0	0	0	9
31	448	1	0.61666666666667	0.61666666666667	0.0	0.0	0	0	9
31	779	1	0.61666666666667	0.61666666666667	0.0	0.0	0	0	9
