init_node	term_node	demand
2	59	14
3	1	4
3	2	38
3	4	39
3	5	38
3	6	5
3	7	124
3	24	83
3	26	38
3	30	38
3	42	36
3	47	5
3	55	40
3	58	41
3	59	18
3	60	40
3	67	37
3	72	5
3	81	36
3	84	79
3	85	37
3	89	37
3	98	170
3	99	39
3	102	5
3	103	210
3	104	2
3	105	38
3	106	38
3	111	44
3	112	95
3	114	94
3	139	37
3	146	38
3	147	39
4	6	38
4	24	37
4	30	10
4	52	40
4	80	37
4	85	37
4	95	37
4	99	39
4	100	40
4	103	39
4	105	39
4	114	95
4	146	38
4	147	84
5	3	6
5	4	85
5	8	46
5	12	53
5	25	43
5	55	47
5	59	14
5	72	6
5	74	45
5	85	43
5	86	42
5	97	45
5	100	46
5	104	13
5	106	85
5	113	51
6	7	38
6	81	37
6	104	39
6	132	36
7	1	45
7	3	45
7	30	45
7	38	44
7	50	6
7	94	42
7	96	90
7	97	46
7	98	11
7	99	46
7	100	46
7	104	13
7	105	45
7	106	45
7	107	6
7	109	6
7	114	51
7	126	46
7	146	44
8	1	46
8	7	6
8	30	44
8	49	46
8	58	94
8	59	24
8	100	46
8	104	12
8	147	46
9	3	39
9	98	38
9	100	40
9	106	5
10	1	6
10	2	7
10	9	9
10	26	27
10	30	9
10	59	3
10	60	8
10	98	7
10	100	9
10	101	8
10	102	9
10	104	8
10	114	20
11	1	4
11	2	6
11	3	13
11	4	12
11	5	10
11	6	14
11	7	12
11	8	18
11	9	50
11	10	23
11	12	51
11	13	9
11	14	8
11	15	9
11	17	7
11	18	8
11	19	17
11	23	6
11	24	13
11	25	37
11	26	31
11	27	19
11	29	6
11	30	32
11	31	25
11	35	7
11	38	6
11	39	5
11	45	6
11	47	17
11	49	11
11	54	12
11	55	6
11	58	11
11	59	32
11	62	4
11	65	7
11	67	6
11	76	6
11	77	7
11	82	5
11	84	38
11	86	6
11	90	6
11	95	7
11	96	11
11	97	11
11	98	13
11	99	17
11	100	24
11	101	12
11	102	18
11	103	61
11	104	27
11	105	7
11	107	14
11	109	7
11	113	13
11	114	49
11	116	7
11	117	14
11	120	14
11	135	7
11	141	13
11	147	45
12	1	6
12	2	19
12	3	6
12	4	5
12	5	12
12	6	7
12	7	12
12	8	8
12	9	13
12	11	25
12	14	9
12	16	8
12	18	7
12	19	9
12	25	6
12	27	17
12	29	7
12	30	5
12	31	12
12	35	13
12	48	5
12	55	6
12	58	6
12	59	9
12	67	6
12	69	6
12	72	5
12	80	5
12	81	12
12	82	6
12	83	6
12	84	5
12	87	7
12	88	13
12	91	7
12	97	6
12	98	17
12	99	5
12	100	6
12	102	12
12	103	30
12	104	31
12	105	5
12	108	7
12	112	14
12	114	7
12	120	7
12	139	5
12	142	13
12	147	12
13	1	27
13	2	34
13	3	33
13	4	13
13	5	6
13	6	5
13	7	6
13	8	3
13	9	6
13	10	8
13	11	17
13	12	16
13	17	5
13	18	9
13	22	7
13	30	5
13	31	28
13	44	6
13	48	5
13	55	6
13	58	6
13	59	21
13	81	6
13	85	7
13	98	20
13	100	13
13	101	6
13	102	6
13	103	13
13	104	2
13	112	6
13	116	7
13	117	15
13	144	7
13	147	13
14	1	12
14	2	32
14	3	13
14	4	7
14	5	12
14	6	25
14	7	19
14	8	25
14	9	38
14	10	11
14	11	9
14	12	17
14	15	9
14	16	8
14	18	8
14	19	9
14	23	6
14	24	6
14	25	5
14	26	13
14	27	32
14	29	7
14	30	5
14	31	33
14	35	6
